	0	1						",0,1"
31	41	"""{'lat'"	-71.123831	'avrg_waiting'	28.22558442	'lon'	"42.352261}"""	"31,41.0,""{'lat': -71.12383100000001, 'avrg_waiting': 28.225584415584418, 'lon': 42.352261}"""
32	42	"""{'lat'"	-71.070378	'avrg_waiting'	67.67107935	'lon'	"42.352096}"""	"32,42.0,""{'lat': -71.070378, 'avrg_waiting': 67.671079353140286, 'lon': 42.352096}"""
33	43	"""{'lat'"	-71.050699	'avrg_waiting'	36.99417914	'lon'	"42.357143}"""	"33,43.0,""{'lat': -71.050699, 'avrg_waiting': 36.99417913615622, 'lon': 42.357143}"""
34	44	"""{'lat'"	-71.056868	'avrg_waiting'	57.04558659	'lon'	"42.360583}"""	"34,44.0,""{'lat': -71.05686800000001, 'avrg_waiting': 57.045586592178772, 'lon': 42.360583}"""
35	45	"""{'lat'"	-71.09788	'avrg_waiting'	49.04053096	'lon'	"42.344763}"""	"35,45.0,""{'lat': -71.09788, 'avrg_waiting': 49.040530963169495, 'lon': 42.344763}"""
36	46	"""{'lat'"	-71.085918	'avrg_waiting'	42.13994046	'lon'	"42.343864}"""	"36,46.0,""{'lat': -71.085918, 'avrg_waiting': 42.139940459041583, 'lon': 42.343864}"""
37	47	"""{'lat'"	-71.056067	'avrg_waiting'	48.12257317	'lon'	"42.362811}"""	"37,47.0,""{'lat': -71.056067, 'avrg_waiting': 48.122573173299642, 'lon': 42.362811}"""
38	48	"""{'lat'"	-71.055407	'avrg_waiting'	244.0967303	'lon'	"42.356755}"""	"38,48.0,""{'lat': -71.05540699999999, 'avrg_waiting': 244.0967302933899, 'lon': 42.356755}"""
39	49	"""{'lat'"	-71.066289	'avrg_waiting'	58.66008617	'lon'	"42.351146}"""	"39,49.0,""{'lat': -71.066289, 'avrg_waiting': 58.660086173129642, 'lon': 42.351146}"""
40	50	"""{'lat'"	-71.073644	'avrg_waiting'	64.41792498	'lon'	"42.350989}"""	"40,50.0,""{'lat': -71.07364399999999, 'avrg_waiting': 64.417924976258305, 'lon': 42.350989}"""
41	51	"""{'lat'"	-71.0790969	'avrg_waiting'	36.19255319	'lon'	"42.3348756}"""	"41,51.0,""{'lat': -71.07909690000001, 'avrg_waiting': 36.19255319148936, 'lon': 42.3348756}"""
42	52	"""{'lat'"	-71.085954	'avrg_waiting'	42.26597947	'lon'	"42.348717}"""	"42,52.0,""{'lat': -71.085954, 'avrg_waiting': 42.265979471120389, 'lon': 42.348717}"""
43	53	"""{'lat'"	-71.089886	'avrg_waiting'	68.73677056	'lon'	"42.350851}"""	"43,53.0,""{'lat': -71.08988599999999, 'avrg_waiting': 68.736770562770545, 'lon': 42.350851}"""
44	54	"""{'lat'"	-71.063348	'avrg_waiting'	25.62251974	'lon'	"42.354979}"""	"44,54.0,""{'lat': -71.063348, 'avrg_waiting': 25.622519743336621, 'lon': 42.354979}"""
45	55	"""{'lat'"	-71.088088	'avrg_waiting'	44.21895798	'lon'	"42.347265}"""	"45,55.0,""{'lat': -71.088088, 'avrg_waiting': 44.218957984755527, 'lon': 42.347265}"""
46	57	"""{'lat'"	-71.081572	'avrg_waiting'	58.84792982	'lon'	"42.340799}"""	"46,57.0,""{'lat': -71.081572, 'avrg_waiting': 58.84792982456139, 'lon': 42.340799}"""
47	58	"""{'lat'"	-71.07278	'avrg_waiting'	58.72530822	'lon'	"42.355596000000006}"""	"47,58.0,""{'lat': -71.07278000000001, 'avrg_waiting': 58.725308215232161, 'lon': 42.355596000000006}"""
48	59	"""{'lat'"	-71.059367	'avrg_waiting'	27.93854418	'lon'	"42.351356}"""	"48,59.0,""{'lat': -71.05936700000001, 'avrg_waiting': 27.938544180167753, 'lon': 42.351356}"""
49	62	"""{'lat'"	-71.109927	'avrg_waiting'	66.55043489	'lon'	"42.340299}"""	"49,62.0,""{'lat': -71.109927, 'avrg_waiting': 66.550434893834748, 'lon': 42.340299}"""
50	63	"""{'lat'"	-71.057054	'avrg_waiting'	33.12723305	'lon'	"42.344023}"""	"50,63.0,""{'lat': -71.05705400000001, 'avrg_waiting': 33.127233049127085, 'lon': 42.344023}"""
51	64	"""{'lat'"	-71.0496	'avrg_waiting'	281.1543729	'lon'	"42.3511}"""	"51,64.0,""{'lat': -71.0496, 'avrg_waiting': 281.15437286025531, 'lon': 42.3511}"""
52	65	"""{'lat'"	-71.0441	'avrg_waiting'	44.41591129	'lon'	"42.3475}"""	"52,65.0,""{'lat': -71.0441, 'avrg_waiting': 44.415911291884555, 'lon': 42.3475}"""
53	66	"""{'lat'"	-71.13401	'avrg_waiting'	57.77623642	'lon'	"42.348607}"""	"53,66.0,""{'lat': -71.13401, 'avrg_waiting': 57.776236416056783, 'lon': 42.348607}"""
54	67	"""{'lat'"	-71.093198	'avrg_waiting'	98.68497914	'lon'	"42.3581}"""	"54,67.0,""{'lat': -71.093198, 'avrg_waiting': 98.684979143997097, 'lon': 42.3581}"""
55	68	"""{'lat'"	-71.1031	'avrg_waiting'	53.77728349	'lon'	"42.36507}"""	"55,68.0,""{'lat': -71.1031, 'avrg_waiting': 53.777283491204329, 'lon': 42.36507}"""
56	69	"""{'lat'"	-71.123338	'avrg_waiting'	56.92536887	'lon'	"42.341598}"""	"56,69.0,""{'lat': -71.123338, 'avrg_waiting': 56.925368871965723, 'lon': 42.341598}"""
57	70	"""{'lat'"	-71.121851	'avrg_waiting'	34.70576685	'lon'	"42.372244}"""	"57,70.0,""{'lat': -71.121851, 'avrg_waiting': 34.705766852195417, 'lon': 42.372244}"""
58	71	"""{'lat'"	-71.107593	'avrg_waiting'	53.88623439	'lon'	"42.383404999999996}"""	"58,71.0,""{'lat': -71.10759300000001, 'avrg_waiting': 53.886234390009612, 'lon': 42.383404999999996}"""
59	72	"""{'lat'"	-71.084105	'avrg_waiting'	167.1754835	'lon'	"42.362613}"""	"59,72.0,""{'lat': -71.08410500000001, 'avrg_waiting': 167.17548346849657, 'lon': 42.362613}"""
60	73	"""{'lat'"	-71.120886	'avrg_waiting'	51.99228836	'lon'	"42.373231}"""	"60,73.0,""{'lat': -71.120886, 'avrg_waiting': 51.99228836490142, 'lon': 42.373231}"""
61	74	"""{'lat'"	-71.118579	'avrg_waiting'	25.74229481	'lon'	"42.373267999999996}"""	"61,74.0,""{'lat': -71.118579, 'avrg_waiting': 25.742294807370182, 'lon': 42.373267999999996}"""
